BIOCHEMICAL,SUPERPATH,SUBPATH,KEGG,RH127O_1,RH127O_2,RH127O_3,RH127O_4,RH127O_5,PLT_32B_1,PLT_32B_2,PLT_32B_3,PLT_32B_4,PLT_32B_5,VPI_1,VPI_2,VPI_3,VPI_4,SMC7758_1,SMC7758_2,SMC7758_3,SMC7758_4,SMC7758_5,MEM_1,MEM_2,MEM_3,MEM_4,MEM_5
xanthosine,Nucleotide,"Purine Metabolism, (Hypo)Xanthine/Inosine containing",C01762,0.7917,1.6472,0.712,0.8306,0.7253,1.7387,3.2556,2.5268,1.651,1.489,1.1695,1.5922,2.2647,2.218,3.107,0.3743,2.3696,0.3743,0.3743,0.3743,0.3743,0.3743,0.3743,0.3743
X - 11612,,,,0.5559,0.5467,0.3995,0.677,0.6674,1.4205,2.4297,1.4912,1.0287,1.1403,0.3995,0.8714,0.3995,0.3995,2.0463,0.3995,2.0097,2.4743,0.9713,0.3995,0.3995,0.3995,0.3995,0.3995
X - 11795,,,,0.3514,0.9339,0.5449,1.0908,1.8719,0.2858,0.1667,2.4423,0.2038,2.2858,0.8841,2.7123,0.2771,2.0373,0.2303,0.1837,0.1243,0.2568,0.1243,0.1243,0.1243,0.1243,0.1243,0.1243
X - 12100,,,,1.6517,1.1841,1.0439,2.7199,1.5449,1.9804,2.0576,2.6762,1.8548,3.0239,1.41,0.9605,1.4795,1.7126,2.3068,1.8574,1.8071,2.2521,1.872,2.0661,1.8338,1.8845,2.1274,2.0952
X - 12462,,,,0.0431,0.0271,0.0288,0.0563,0.0653,0.0007,0.0007,0.019,0.025,0.0389,0.0339,0.0638,0.0265,0.0712,0.0007,0.0029,0.0022,0.0026,0.0022,0.0018,0.0007,0.0007,0.0053,0.0037
X - 12680,,,,0.0536,0.0479,0.0458,0.0813,0.0584,0.0458,0.0877,0.1439,0.2272,0.1887,1.8036,2.2474,3.8452,3.3737,16.8394,19.6304,16.4899,18.23,22.2765,0.0458,0.0458,0.0458,0.0458,0.0458
X - 14056,,,,0.047,0.0439,0.0447,0.0172,0.0809,0.0126,0.0162,0.0237,0.0453,0.0132,0.0637,0.0981,0.0793,0.1109,0.0964,0.0914,0.0785,0.0916,0.1008,0.0008,0.0014,0.0009,0.0008,0.0008
X - 14351,,,,0.5061,0.5061,0.5061,0.5061,0.6131,0.5061,2.3124,0.5061,0.5061,0.5061,0.6505,1.1891,0.7991,1.2831,1.0149,1.3845,0.7283,0.534,1,0.5061,0.5061,0.5061,0.5061,0.5061
X - 15136,,,,1.9231,1.2006,1.2304,2.0827,1.536,1.4278,1.7509,2.1038,1.9425,2.1117,1.4673,1.9329,1.7946,2.87,1.9953,2.0197,2.3158,2.8569,2.2955,1.872,1.3552,1.5074,2.1498,1.7034
X - 15161,,,,0.494,0.4002,0.2708,0.8229,0.6166,0.0213,0.029,0.7761,0.7456,1.4596,4.0997,5.9931,1.9396,6.6847,0.2097,0.1021,0.2106,0.2763,0.1484,0.0213,0.0213,0.0213,0.0213,0.0213
X - 16060,,,,1.1855,1.1709,0.8498,1.2952,1.3838,1.0627,1.0157,0.7036,0.8969,1.606,0.9426,1.5028,1.3232,1.7247,1.3138,1.919,0.7587,1.9259,1.2309,1.4638,1.0781,1.6316,1.6376,1.6287
